,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1248,Bard of Blood,SHOW,2019,TV-MA,45,"['action', 'drama', 'thriller']",India,2,tt8069036,6.8,13210,0,light pink
1249,Find Yourself,SHOW,2020,TV-14,45,"['drama', 'romance']",China,1,tt11569628,7.6,201,0,light pink
1250,Archibald's Next Big Thing,SHOW,2019,TV-Y7,24,"['scifi', 'animation', 'comedy', 'family', 'fantasy', 'action']",United States of America (the),2,tt9165404,7.5,284,0,light pink
1251,Prank Encounters,SHOW,2019,TV-MA,25,"['comedy', 'horror', 'reality', 'scifi']",United States of America (the),2,tt10487072,5.2,2615,0,light pink
1252,The Iliza Shlesinger Sketch Show,SHOW,2020,TV-MA,19,['comedy'],United States of America (the),1,tt11092086,5,914,0,light pink
1253,Go! Go! Cory Carson,SHOW,2020,TV-Y,9,"['animation', 'comedy', 'family']",United States of America (the),6,tt8115702,7.9,238,0,light pink
1254,DeMarcus Family Rules,SHOW,2020,TV-14,29,['reality'],United States of America (the),1,tt12759420,6.2,110,0,light pink
1255,My Dear Warrior,SHOW,2019,TV-14,42,"['fantasy', 'romance']",Thailand,1,tt11281912,4.6,19,0,light pink
1256,Team Kaylie,SHOW,2019,TV-PG,30,['comedy'],United States of America (the),3,tt9717424,4,333,0,light pink
1257,Put Your Head on My Shoulder,SHOW,2019,TV-Y7,40,"['drama', 'romance', 'comedy']",China,1,tt10265158,8,2063,0,light pink
1258,GAME ON: A Comedy Crossover Event,SHOW,2020,TV-G,29,"['comedy', 'family']",United States of America (the),2,tt12800428,5.4,213,0,light pink
1259,The Underclass,SHOW,2020,TV-MA,55,['drama'],Thailand,1,tt12666950,6.4,62,0,light pink
1260,Cricket Fever: Mumbai Indians,SHOW,2019,TV-MA,38,"['documentation', 'sport']",India,1,tt8531592,7.2,699,0,light pink
1261,The Unremarkable Juanquini,SHOW,2020,TV-MA,30,['comedy'],Colombia,2,tt12189308,4.3,189,0,light pink
1262,Tijuana,SHOW,2019,TV-14,41,"['drama', 'crime']",Mexico,1,tt8027624,6.9,327,0,light pink
1263,Juman,SHOW,2019,TV-PG,40,"['romance', 'drama']",Kuwait,1,tt12567164,5.2,110,0,light pink
1264,Sing On! Germany,SHOW,2020,,38,"['reality', 'music']",Germany,1,tt12748264,5.4,136,0,light pink
1265,Sing On!,SHOW,2020,TV-G,36,"['reality', 'music']",United States of America (the),1,tt12923734,6.4,380,0,light pink
1266,Living Undocumented,SHOW,2019,TV-MA,42,['documentation'],United States of America (the),1,tt10977486,6.7,577,0,light pink
1267,Nailed It! Mexico,SHOW,2019,TV-PG,32,['reality'],Mexico,3,tt9708588,6.2,308,0,light pink
1268,Country Ever After,SHOW,2020,TV-PG,24,"['reality', 'music']",United States of America (the),1,tt12987872,6.3,169,0,light pink
1269,Mighty Little Bheem,SHOW,2019,TV-Y,6,"['comedy', 'family', 'fantasy', 'animation']",United States of America (the),3,tt10050752,6.4,249,0,light pink
1270,Rhyme Time Town,SHOW,2020,TV-Y,23,"['animation', 'comedy', 'family']",United States of America (the),2,tt9165434,7.5,78,0,light pink
1271,Sakho & Mangane,SHOW,2019,TV-MA,51,"['action', 'comedy']",Senegal,1,tt9391692,6.5,131,0,light pink
1272,"Coronavirus, Explained",SHOW,2020,TV-PG,23,['documentation'],United States of America (the),1,tt12189310,7.6,2223,0,light pink
1273,Hasmukh,SHOW,2020,TV-MA,32,"['crime', 'comedy', 'drama']",India,1,tt9359294,5.3,2673,0,light pink
1274,Tiffany Haddish Presents: They Ready,SHOW,2019,TV-14,23,"['comedy', 'reality']",United States of America (the),2,tt10085386,6.5,555,0,light pink
1275,Sing On! Spain,SHOW,2020,TV-G,39,"['music', 'reality']",Spain,1,tt11698668,6,130,0,light pink
1276,Cooked With Cannabis,SHOW,2020,TV-MA,37,['reality'],United States of America (the),1,tt12176398,6.5,340,0,light pink
1277,Voices of Fire,SHOW,2020,TV-PG,36,"['music', 'reality']",United States of America (the),1,tt13329282,6.8,382,0,light pink
1278,Larry Charles' Dangerous World of Comedy,SHOW,2019,TV-MA,0,"['documentation', 'comedy']",United States of America (the),1,tt9654082,7.3,570,0,light pink
1279,Legend Quest: Masters of Myth,SHOW,2019,TV-Y7,25,"['action', 'animation']",Mexico,1,tt10228032,7.6,126,0,light pink
1280,Hong Kong West Side Stories,SHOW,2019,TV-MA,23,"['drama', 'comedy']",Hong Kong,2,tt10284430,5.7,6,0,light pink
1281,Charlie's Colorforms City,SHOW,2019,TV-Y,23,"['animation', 'family']",United States of America (the),4,tt8115672,7,148,0,light pink
1282,The Legend of White Snake,SHOW,2019,TV-14,46,"['scifi', 'drama', 'fantasy']",China,1,tt10628250,7.4,224,0,light pink
1283,Bangkok Love Stories: Plead,SHOW,2019,,44,['drama'],Thailand,1,tt10438656,7.3,57,0,light pink
1284,Dino Girl Gauko,SHOW,2019,,9,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",Japan,2,tt10380814,6.6,71,0,light pink
